,pair,pvalue,hurst_exp,half_life,avg_cross_count,SharpeRatio,Annualised Return(%),Max Drawdown(%),Annualised Volatility(%)
30,"('energy-energy - CNQ.csv', 'energy-energy - EOG.csv')",3.0171260259889084e-13,-0.008877340914955494,25.543280754255008,126.50066225165563,1.954450410688955,13.703879538703404,7.547443266071583,10.57430160897939
42,"('energy-energy - CNQ.csv', 'energy-energy - VLO.csv')",2.711148766520414e-13,-0.010009958365033792,45.854556571123126,127.66887417218543,2.332205561984241,9.797273615078812,24.402575326568194,16.101392043206367
106,"('energy-energy - DVN.csv', 'energy-energy - PXD.csv')",3.893116052052411e-20,0.0033470727847325354,152.8810565843812,126.66754966887417,1.6136433141010613,5.444387365443168,8.663503555183356,12.85948652232689
185,"('energy-energy - EQNR.csv', 'energy-energy - SHEL.csv')",6.837003482552346e-18,-0.007353745053540696,219.77027994985573,128.6701986754967,5.975430325381796,9.187471068948883,14.383119641464011,17.24841274726669
1757,"('comms-comms - NTES.csv', 'health-health - TMO.csv')",1.3389297067544577e-29,0.0009817640226372057,203.3737540652469,130.33907284768213,2.5761589427838913,9.167089184095735,19.772516910827722,20.637775099251705
4053,"('consdef-consdef - COST.csv', 'health-health - PFE.csv')",6.091905133170622e-22,-0.0029908325245851415,216.1838927320923,125.33245033112583,1.527786627661614,17.181592375233652,14.073614972127722,16.144477381537204
4087,"('consdef-consdef - COST.csv', 'realestate-realestate - WY.csv')",1.5586811477127557e-11,-0.0005228830604621705,163.72971061874665,124.33112582781457,1.9987118627319682,21.630112556317503,7.963722070276854,11.780218167394064
4101,"('consdef-consdef - COST.csv', 'tech-tech - NVDA.csv')",6.535527691801266e-21,0.0006404627312320147,241.7991262739883,123.6635761589404,3.6624709810404843,7.0160869875179745,13.756639049558354,16.903865450382778
5372,"('financials-financials - HSBC.csv', 'materials-materials - NUE.csv')",1.4575205993296869e-15,0.0021720807225110487,179.79349865775498,129.67152317880794,1.69147691909661,6.550887909988148,22.03181142765108,20.24814871601966
7787,"('industrials-industrials - LMT.csv', 'materials-materials - NUE.csv')",3.5160002716533184e-23,0.00039025257407983326,188.6428758903323,131.0066225165563,2.079989786031767,17.291903103481292,16.820780124363267,17.121728119676778
7988,"('industrials-industrials - UPS.csv', 'materials-materials - NUE.csv')",4.8354314896141246e-23,-0.0008304657925192282,208.77092965926127,134.5112582781457,4.958809660426276,4.839096172612986,23.785389555553014,17.563915637866796
9108,"('consdef-consdef - PEP.csv', 'realestate-realestate - SBAC.csv')",3.040599511734988e-10,0.0011851410589851727,241.54015519458292,131.17350993377482,2.4161746986573935,4.439013832866681,21.426831732486633,12.137314801094265
9112,"('consdef-consdef - PEP.csv', 'utilities-utilities - AWK.csv')",3.4838028543876454e-21,0.0014187661918764049,123.28627931620089,133.3430463576159,3.7262894020293267,3.6527421438358543,17.799069317150902,8.414242169005806
9119,"('consdef-consdef - PEP.csv', 'utilities-utilities - EXC.csv')",9.133407900661036e-23,0.001528469862600884,204.3639038833029,135.84635761589405,2.733804570205247,1.1235160389337262,11.867881547841447,8.76493315040188
9123,"('consdef-consdef - PEP.csv', 'utilities-utilities - NGG.csv')",5.655232122229896e-22,0.0021622358834965617,248.82088739788486,134.67814569536424,1.7858630241156777,11.504721758541748,7.47124917247109,8.596123559456235
